MESSAGE,RESPONSE
halo,"halo, ada yang bisa kami bantu?"
saya mau bertanya,"halo, ada yang bisa kami bantu?"
bertanya halo,"halo, ada yang bisa kami bantu?"
selamat pagi,"Selamat Pagi, ada yang bisa kami bantu?"
selamat siang,"Selamat Siang, ada yang bisa kami bantu?"
selamat sore,"Selamat Sore, ada yang bisa kami bantu?"
selamat malam,"Selamat Malam, ada yang bisa kami bantu?"
pagi,"Selamat Pagi, ada yang bisa kami bantu?"
siang,"Selamat Siang, ada yang bisa kami bantu?"
sore,"Selamat Sore, ada yang bisa kami bantu?"
malam,"Selamat Malam, ada yang bisa kami bantu?"
cara mengganti password,Masuk Google Chrome Ketik 192.168.0.1 untuk Username sama password untuk login = user setelah masuk Klik Network. Klik bagian Wlan. Klik bagian Security Setelah diganti klik submit
cara mengganti kata sandi,Masuk Google Chrome Ketik 192.168.0.1 untuk Username sama password untuk login = user setelah masuk Klik Network. Klik bagian Wlan. Klik bagian Security Setelah diganti klik submit
cara mengganti nama WiFi,Masuk Google Chrome Ketik 192.168.0.1 untuk Username sama password untuk login = user setelah masuk Klik Network. Klik bagian Wlan. Klik bagian SSID setting Setelah di ganti klik submit
Pembayaran wifi bisa di transfer,Iya bisa di transfer dengan no rekening MANDIRI : 1850004160823
minta norek,Iya bisa di transfer dengan no rekening MANDIRI : 1850004160823
minta nomor rekening,Iya bisa di transfer dengan no rekening MANDIRI : 1850004160823
kirim no rekening,Iya bisa di transfer dengan no rekening MANDIRI : 1850004160823
kirim nomor rekening,Iya bisa di transfer dengan no rekening MANDIRI : 1850004160823
wifi kadang terkoneksi kadang tidak," ""Mohon maaf atas ketidaknyamananya akan kami cek dari server. silakan hubungi CS kami melalui menu pengaduan"""
wifi mati,Mohon maaf atas ketidaknyamananya akan kami cek dari server. silakan hubungi CS kami melalui menu pengaduan
jaringan hilang,Mohon maaf atas ketidaknyamananya akan kami cek dari server. silakan hubungi CS kami melalui menu pengaduan
Tidak terkoneksi wifinya,Mohon maaf atas ketidaknyamananya akan kami cek dari server. silakan hubungi CS kami melalui menu pengaduan
Wifinya terkoneksi ada lampu Merah di modemnya,Mohon maaf atas ketidaknyamananya akan kami cek dari server. silakan hubungi CS kami melalui menu pengaduan
Internet wifinya tidak terkoneksi,Mohon maaf atas ketidaknyamananya akan kami cek dari server. silakan hubungi CS kami melalui menu pengaduan
indikator merah LOS pada wifi nyala,kemungkinan ada kerusakan pada device atau ada kabel terputus. akan kami segera agendakan pengecekan di lokasi. Silakan hubungi CS kami melalui menu pengaduan
Internet Lemot,untuk mengatasi internet lambat Coba dikurangi penggunaan usernya agar pemakaianya stabil dan lancar. atau upgrade ke paket yang lebih tinggi
wifinya lemot,untuk mengatasi internet lambat Coba dikurangi penggunaan usernya agar pemakaianya stabil dan lancar. atau upgrade ke paket yang lebih tinggi
Internet Lemot,untuk mengatasi internet lambat Coba dikurangi penggunaan usernya agar pemakaianya stabil dan lancar. atau upgrade ke paket yang lebih tinggi
wifinya lemot,untuk mengatasi internet lambat Coba dikurangi penggunaan usernya agar pemakaianya stabil dan lancar. atau upgrade ke paket yang lebih tinggi
Tidak ada koneksi dan modem ada indikator merah,Ketika indikator modem Los nyala merah. kemungkinan dikarenakan kabel dari odp ke modem putus. Silahkan hubungi CS melalui menu pengaduan
Tidak ada koneksi tetapi lampu indikator nyala semua,Silahkan coba modemnya di restart. adaptor di lepas dari colokan listrik. tunggu berapa detik setelah itu dicolokkan lagi
Modem mati tidak menyala,"Akan segera kami cek di lokasi, untuk pergantian alat. mohon hubungi CS melalui menu pengaduan"
wifinya hilang nggak ada sinyal di hp saya kondisi modem hidup,Silahkan sampaikan masalah di menu pengaduan. nanti teknisi biar mengecek dilokasi
Saya lupa passwordnya pelanggan atas nama alamat,silahkan hubungi CS melalui menu pengaduan untuk tindakan lebih lanjut
Internetnya lemot padahal dipakai sedikit orang,coba di ganti password saja. barangkali kebobolan internetnya
